Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
NestMini (FR-1),0,16577,1604416,8568,812321,8009,792095
NestMini (FR-1),3600,15245,1609220,7880,733969,7365,875251
NestMini (FR-1),7200,11857,1426342,6277,627934,5580,798408
NestMini (FR-1),10800,14664,1708001,7644,774080,7020,933921
NestMini (FR-1),14400,11214,1482974,5926,633304,5288,849670
NestMini (FR-1),18000,13637,1587542,7092,699425,6545,888117
NestMini (FR-1),21600,13464,1542084,7030,662996,6434,879088
NestMini (FR-1),25200,10665,1364718,5484,564429,5181,800289
NestMini (FR-1),28800,19022,1882080,9933,924644,9089,957436
NestMini (FR-1),32400,17151,1626614,9100,824197,8051,802417
NestMini (FR-1),36000,17553,1617984,9310,827078,8243,790906
NestMini (FR-1),39600,16971,1515078,8858,765924,8113,749154
NestMini (FR-1),43200,14451,1246007,7503,625584,6948,620423
NestMini (FR-1),46800,14948,1423220,8032,743392,6916,679828
NestMini (FR-1),50400,13940,1137838,7374,585791,6566,552047
NestMini (FR-1),54000,15418,1320392,8140,682129,7278,638263
NestMini (FR-1),57600,18165,1733321,9598,883230,8567,850091
NestMini (FR-1),61200,16849,1503807,8868,736816,7981,766991
NestMini (FR-1),64800,14110,1331920,7420,625673,6690,706247
NestMini (FR-1),68400,15549,1701142,8085,797455,7464,903687
NestMini (FR-1),72000,14762,1463325,7559,685329,7203,777996
NestMini (FR-1),75600,12575,1284666,6594,574256,5981,710410
NestMini (FR-1),79200,15061,1602350,7897,779782,7164,822568
NestMini (FR-1),82800,15828,1820245,8149,1054974,7679,765271
NestMini (FR-1),86400,14844,1663128,7556,994800,7288,668328
NestMini (FR-1),90000,15184,1737049,7871,1059310,7313,677739
NestMini (FR-1),93600,14853,1677611,7639,1016309,7214,661302
NestMini (FR-1),97200,14706,1667249,7514,1002357,7192,664892
NestMini (FR-1),100800,14931,1704597,7754,1045465,7177,659132
NestMini (FR-1),104400,14868,1691509,7693,1032570,7175,658939
NestMini (FR-1),108000,14635,1644071,7446,983205,7189,660866
NestMini (FR-1),111600,14678,1646824,7472,985418,7206,661406
NestMini (FR-1),115200,14857,1689468,7686,1029838,7171,659630
NestMini (FR-1),118800,14748,1663666,7540,1001424,7208,662242
NestMini (FR-1),122400,13489,1228655,7154,638215,6335,590440
NestMini (FR-1),126000,12236,1003651,6454,515856,5782,487795
NestMini (FR-1),129600,12162,974288,6354,495656,5808,478632
NestMini (FR-1),133200,12023,948907,6239,470765,5784,478142
NestMini (FR-1),136800,12226,977900,6387,497353,5839,480547
NestMini (FR-1),140400,12124,957474,6282,475929,5842,481545
