Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
Litokam (US),0,649,122021,519,108143,130,13878,360,94320,360,94320,0,0,289,27701,159,13823,130,13878
Litokam (US),1800,650,121938,521,108126,129,13812,360,94320,360,94320,0,0,290,27618,161,13806,129,13812
Litokam (US),3600,651,122153,521,108275,130,13878,360,94320,360,94320,0,0,291,27833,161,13955,130,13878
Litokam (US),5400,673,127598,533,109832,140,17766,359,94058,359,94058,0,0,314,33540,174,15774,140,17766
Litokam (US),7200,653,122285,522,108341,131,13944,360,94320,360,94320,0,0,293,27965,162,14021,131,13944
Litokam (US),9000,647,121602,519,107925,128,13677,360,94320,360,94320,0,0,287,27282,159,13605,128,13677
Litokam (US),10800,652,122023,521,108079,131,13944,359,94058,359,94058,0,0,293,27965,162,14021,131,13944
Litokam (US),12600,648,121806,520,108060,128,13746,360,94320,360,94320,0,0,288,27486,160,13740,128,13746
Litokam (US),14400,677,128207,535,110309,142,17898,360,94320,360,94320,0,0,317,33887,175,15989,142,17898
Litokam (US),16200,642,118596,516,107525,126,11071,359,94058,359,94058,0,0,283,24538,157,13467,126,11071
Litokam (US),18000,677,127999,535,110229,142,17770,360,94320,360,94320,0,0,317,33679,175,15909,142,17770
Litokam (US),19800,650,121938,521,108126,129,13812,360,94320,360,94320,0,0,290,27618,161,13806,129,13812
Litokam (US),21600,652,122023,521,108079,131,13944,359,94058,359,94058,0,0,293,27965,162,14021,131,13944
Litokam (US),23400,674,127860,534,110094,140,17766,360,94320,360,94320,0,0,314,33540,174,15774,140,17766
Litokam (US),25200,651,122153,521,108275,130,13878,360,94320,360,94320,0,0,291,27833,161,13955,130,13878
Litokam (US),27000,649,121676,520,107864,129,13812,359,94058,359,94058,0,0,290,27618,161,13806,129,13812
Litokam (US),28800,653,122285,522,108341,131,13944,360,94320,360,94320,0,0,293,27965,162,14021,131,13944
Litokam (US),30600,650,121938,521,108126,129,13812,360,94320,360,94320,0,0,290,27618,161,13806,129,13812
Litokam (US),32400,676,127945,534,110047,142,17898,359,94058,359,94058,0,0,317,33887,175,15989,142,17898
Litokam (US),34200,650,121938,521,108126,129,13812,360,94320,360,94320,0,0,290,27618,161,13806,129,13812
Litokam (US),36000,653,122285,522,108341,131,13944,360,94320,360,94320,0,0,293,27965,162,14021,131,13944
Litokam (US),37800,647,121544,519,107798,128,13746,359,94058,359,94058,0,0,288,27486,160,13740,128,13746
Litokam (US),39600,677,127999,535,110229,142,17770,360,94320,360,94320,0,0,317,33679,175,15909,142,17770
Litokam (US),41400,674,127860,534,110094,140,17766,360,94320,360,94320,0,0,314,33540,174,15774,140,17766
Litokam (US),43200,652,122023,521,108079,131,13944,359,94058,359,94058,0,0,293,27965,162,14021,131,13944
Litokam (US),45000,650,121938,521,108126,129,13812,360,94320,360,94320,0,0,290,27618,161,13806,129,13812
Litokam (US),46800,651,122153,521,108275,130,13878,360,94320,360,94320,0,0,291,27833,161,13955,130,13878
Litokam (US),48600,650,121938,521,108126,129,13812,360,94320,360,94320,0,0,290,27618,161,13806,129,13812
Litokam (US),50400,676,127945,534,110047,142,17898,359,94058,359,94058,0,0,317,33887,175,15989,142,17898
Litokam (US),52200,645,121470,518,107859,127,13611,360,94320,360,94320,0,0,285,27150,158,13539,127,13611
Litokam (US),54000,651,122153,521,108275,130,13878,360,94320,360,94320,0,0,291,27833,161,13955,130,13878
Litokam (US),55800,649,121676,520,107864,129,13812,359,94058,359,94058,0,0,290,27618,161,13806,129,13812
Litokam (US),57600,651,122153,521,108275,130,13878,360,94320,360,94320,0,0,291,27833,161,13955,130,13878
Litokam (US),59400,663,124516,528,109623,135,14893,360,94320,360,94320,0,0,303,30196,168,15303,135,14893
Litokam (US),61200,667,124525,529,109562,138,14963,359,94058,359,94058,0,0,308,30467,170,15504,138,14963
Litokam (US),63000,650,121938,521,108126,129,13812,360,94320,360,94320,0,0,290,27618,161,13806,129,13812
Litokam (US),64800,651,122153,521,108275,130,13878,360,94320,360,94320,0,0,291,27833,161,13955,130,13878
