Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (FR-1),0,479,121993,273,108159,206,13834
TPLink (FR-1),3600,395,109314,236,98442,159,10872
TPLink (FR-1),7200,439,116011,255,103617,184,12394
TPLink (FR-1),10800,376,105326,228,95091,148,10235
TPLink (FR-1),14400,388,108884,235,98352,153,10532
TPLink (FR-1),18000,371,105051,226,94995,145,10056
TPLink (FR-1),21600,337,99448,210,90549,127,8899
TPLink (FR-1),25200,359,103076,220,93453,139,9623
TPLink (FR-1),28800,476,121115,270,107394,206,13721
TPLink (FR-1),32400,483,122738,274,108792,209,13946
TPLink (FR-1),36000,362,103807,221,94086,141,9721
TPLink (FR-1),39600,382,104072,224,93343,158,10729
TPLink (FR-1),43200,410,108943,237,97362,173,11581
TPLink (FR-1),46800,403,109646,236,98442,167,11204
TPLink (FR-1),50400,427,111625,243,99447,184,12178
TPLink (FR-1),54000,415,110970,240,99261,175,11709
TPLink (FR-1),57600,480,122646,274,108792,206,13854
TPLink (FR-1),61200,410,110720,240,99261,170,11459
TPLink (FR-1),64800,355,100220,210,90549,145,9671
TPLink (FR-1),68400,344,99726,210,90549,134,9177
TPLink (FR-1),72000,335,98574,206,89730,129,8844
TPLink (FR-1),75600,405,109312,238,97995,167,11317
TPLink (FR-1),79200,341,99035,209,89916,132,9119
TPLink (FR-1),82800,457,116803,255,103617,202,13186
TPLink (FR-1),86400,396,106039,225,94905,171,11134
TPLink (FR-1),90000,363,100562,211,90603,152,9959
TPLink (FR-1),93600,350,99224,206,89730,144,9494
TPLink (FR-1),97200,441,112241,243,99447,198,12794
TPLink (FR-1),100800,421,111194,240,99261,181,11933
TPLink (FR-1),104400,535,128492,289,112569,246,15923
TPLink (FR-1),108000,403,107103,229,95724,174,11379
TPLink (FR-1),111600,349,99190,206,89730,143,9460
TPLink (FR-1),115200,377,104365,220,93996,157,10369
TPLink (FR-1),118800,436,112001,243,99447,193,12554
TPLink (FR-1),122400,350,98056,204,88464,146,9592
TPLink (FR-1),126000,358,100708,212,90886,146,9822
TPLink (FR-1),129600,397,106123,225,94905,172,11218
TPLink (FR-1),133200,359,99650,206,89730,153,9920
TPLink (FR-1),136800,496,123310,275,108846,221,14464
TPLink (FR-1),140400,365,100660,210,90549,155,10111
TPLink (FR-1),144000,363,100572,211,90603,152,9969
TPLink (FR-1),147600,432,111815,242,99393,190,12422
TPLink (FR-1),151200,426,111384,239,99207,187,12177
TPLink (FR-1),154800,523,128620,288,113118,235,15502
TPLink (FR-1),158400,427,110869,239,98628,188,12241
TPLink (FR-1),162000,422,110050,237,97941,185,12109
TPLink (FR-1),165600,406,107834,230,96357,176,11477
TPLink (FR-1),169200,520,127046,284,111696,236,15350
TPLink (FR-1),172800,441,114764,250,102165,191,12599
TPLink (FR-1),176400,383,104878,223,94218,160,10660
TPLink (FR-1),180000,517,125756,283,110484,234,15272
TPLink (FR-1),183600,425,111350,240,99261,185,12089
TPLink (FR-1),187200,384,104765,221,94086,163,10679
TPLink (FR-1),190800,466,117965,261,104544,205,13421
TPLink (FR-1),194400,423,111262,240,99261,183,12001
TPLink (FR-1),198000,407,109832,238,98550,169,11282
TPLink (FR-1),201600,432,112414,244,100080,188,12334
TPLink (FR-1),205200,414,110130,236,98442,178,11688
TPLink (FR-1),208800,455,116116,254,102984,201,13132
TPLink (FR-1),212400,466,117762,261,104194,205,13568
TPLink (FR-1),216000,417,109728,237,97905,180,11823
TPLink (FR-1),219600,523,127934,288,112515,235,15419
TPLink (FR-1),223200,446,115573,251,102798,195,12775
TPLink (FR-1),226800,364,100027,209,89916,155,10111
TPLink (FR-1),230400,448,115062,250,102165,198,12897
TPLink (FR-1),234000,373,101915,217,91554,156,10361
TPLink (FR-1),237600,388,105540,222,94719,166,10821
TPLink (FR-1),241200,409,108712,234,97176,175,11536
TPLink (FR-1),244800,456,116779,255,103617,201,13162
TPLink (FR-1),248400,399,106348,228,95091,171,11257
TPLink (FR-1),252000,449,115096,250,102165,199,12931
