Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
NestMini (FR-1),0,17282,1770058,9273,977963,8009,792095
NestMini (FR-1),3600,15708,1719342,8343,844091,7365,875251
NestMini (FR-1),7200,12553,1587417,6973,789009,5580,798408
NestMini (FR-1),10800,15280,1850412,8260,916491,7020,933921
NestMini (FR-1),14400,11880,1637797,6592,788127,5288,849670
NestMini (FR-1),18000,14224,1724959,7679,836842,6545,888117
NestMini (FR-1),21600,13964,1662734,7530,783646,6434,879088
NestMini (FR-1),25200,11002,1457058,5821,656769,5181,800289
NestMini (FR-1),28800,19448,1988823,10359,1031387,9089,957436
NestMini (FR-1),32400,17829,1787371,9778,984954,8051,802417
NestMini (FR-1),36000,18095,1743290,9852,952384,8243,790906
NestMini (FR-1),39600,17501,1638389,9388,889235,8113,749154
NestMini (FR-1),43200,14858,1344004,7910,723581,6948,620423
NestMini (FR-1),46800,15770,1612914,8854,933086,6916,679828
NestMini (FR-1),50400,14458,1261396,7892,709349,6566,552047
NestMini (FR-1),54000,15987,1458866,8709,820603,7278,638263
NestMini (FR-1),57600,18707,1862935,10140,1012844,8567,850091
NestMini (FR-1),61200,17225,1595690,9244,828699,7981,766991
NestMini (FR-1),64800,14396,1404289,7706,698042,6690,706247
NestMini (FR-1),68400,15795,1762352,8331,858665,7464,903687
NestMini (FR-1),72000,14989,1520901,7786,742905,7203,777996
NestMini (FR-1),75600,12930,1372618,6949,662208,5981,710410
NestMini (FR-1),79200,15396,1686430,8232,863862,7164,822568
NestMini (FR-1),82800,16250,1922512,8571,1157241,7679,765271
NestMini (FR-1),86400,15186,1749214,7898,1080886,7288,668328
NestMini (FR-1),90000,15799,1884739,8486,1207000,7313,677739
NestMini (FR-1),93600,15337,1793767,8123,1132465,7214,661302
NestMini (FR-1),97200,15079,1761052,7887,1096160,7192,664892
NestMini (FR-1),100800,15571,1856142,8394,1197010,7177,659132
NestMini (FR-1),104400,15442,1827768,8267,1168829,7175,658939
NestMini (FR-1),108000,14958,1725058,7769,1064192,7189,660866
NestMini (FR-1),111600,15025,1732682,7819,1071276,7206,661406
NestMini (FR-1),115200,15426,1823517,8255,1163887,7171,659630
NestMini (FR-1),118800,15159,1764853,7951,1102611,7208,662242
NestMini (FR-1),122400,13913,1329222,7578,738782,6335,590440
NestMini (FR-1),126000,12797,1138443,7015,650648,5782,487795
NestMini (FR-1),129600,12604,1089598,6796,610966,5808,478632
NestMini (FR-1),133200,12378,1038494,6594,560352,5784,478142
NestMini (FR-1),136800,12688,1094471,6849,613924,5839,480547
NestMini (FR-1),140400,12478,1050175,6636,568630,5842,481545
NestMini (FR-1),144000,12507,1055598,6698,575988,5809,479610
NestMini (FR-1),147600,12730,1104164,6869,618132,5861,486032
NestMini (FR-1),151200,12812,1119326,6959,637781,5853,481545
NestMini (FR-1),154800,13686,1294205,7840,810753,5846,483452
NestMini (FR-1),158400,12668,1086723,6846,606368,5822,480355
NestMini (FR-1),162000,12769,1120164,6948,639848,5821,480316
NestMini (FR-1),165600,12424,1036004,6597,556138,5827,479866
NestMini (FR-1),169200,12848,1141863,7047,665391,5801,476472
NestMini (FR-1),172800,12597,1077728,6797,599633,5800,478095
NestMini (FR-1),176400,12678,1114127,6879,635975,5799,478152
NestMini (FR-1),180000,13525,1278465,7741,800487,5784,477978
NestMini (FR-1),183600,12645,1088687,6846,609611,5799,479076
NestMini (FR-1),187200,12560,1083194,6756,603651,5804,479543
NestMini (FR-1),190800,12628,1085833,6776,601232,5852,484601
NestMini (FR-1),194400,12461,1044016,6663,565157,5798,478859
NestMini (FR-1),198000,13319,1215675,7483,735430,5836,480245
NestMini (FR-1),201600,13154,1192450,7326,712627,5828,479823
NestMini (FR-1),205200,12950,1138626,7097,657380,5853,481246
NestMini (FR-1),208800,12705,1096041,6862,614932,5843,481109
NestMini (FR-1),212400,13472,1237796,7473,716804,5999,520992
NestMini (FR-1),216000,13694,1253317,7542,715134,6152,538183
NestMini (FR-1),219600,13735,1311864,7875,831121,5860,480743
NestMini (FR-1),223200,12713,1104573,6881,623503,5832,481070
NestMini (FR-1),226800,12473,1057614,6627,570435,5846,487179
NestMini (FR-1),230400,12571,1069411,6746,589001,5825,480410
NestMini (FR-1),234000,12928,1140341,7082,659426,5846,480915
NestMini (FR-1),237600,12714,1068341,6769,580098,5945,488243
NestMini (FR-1),241200,12864,1120764,6989,637863,5875,482901
NestMini (FR-1),244800,12537,1057718,6688,575609,5849,482109
NestMini (FR-1),248400,12427,1035582,6576,553889,5851,481693
NestMini (FR-1),252000,12869,1115580,6972,625131,5897,490449
